﻿Niveau d'eau quotidien (m) (PARAM = 2)
 ID,PARAM,Date,Valeur,SYM
02LA015,2,1965/01/18,41.51,
02LA015,2,1965/01/19,41.63,
02LA015,2,1965/01/20,41.62,
02LA015,2,1965/01/21,41.57,
02LA015,2,1965/01/22,41.55,
02LA015,2,1965/01/23,41.47,
02LA015,2,1965/01/24,41.36,
02LA015,2,1965/01/25,41.61,
02LA015,2,1965/01/26,41.63,
02LA015,2,1965/01/27,41.57,
02LA015,2,1965/01/28,41.56,
02LA015,2,1965/01/29,41.55,
02LA015,2,1965/01/30,41.51,
02LA015,2,1965/01/31,41.40,
02LA015,2,1965/02/01,41.58,
02LA015,2,1965/02/02,41.61,
02LA015,2,1965/02/03,41.58,
02LA015,2,1965/02/04,41.57,
02LA015,2,1965/02/05,41.66,
02LA015,2,1965/02/06,41.59,
02LA015,2,1965/02/07,41.50,
02LA015,2,1965/02/08,41.64,
02LA015,2,1965/02/09,41.64,
02LA015,2,1965/02/10,41.65,
02LA015,2,1965/02/11,41.61,
02LA015,2,1965/02/12,41.63,
02LA015,2,1965/02/13,41.60,
02LA015,2,1965/02/14,41.53,
02LA015,2,1965/02/15,41.62,
02LA015,2,1965/02/16,41.62,
02LA015,2,1965/02/17,41.61,
02LA015,2,1965/02/18,41.58,
02LA015,2,1965/02/19,41.60,
02LA015,2,1965/02/20,41.53,
02LA015,2,1965/02/21,41.46,
02LA015,2,1965/02/22,41.63,
02LA015,2,1965/02/23,41.65,
02LA015,2,1965/02/24,41.57,
02LA015,2,1965/02/25,41.58,
02LA015,2,1965/02/26,41.61,
02LA015,2,1965/02/27,41.56,
02LA015,2,1965/02/28,41.50,
02LA015,2,1965/03/01,41.57,
02LA015,2,1965/03/02,41.61,
02LA015,2,1965/03/03,41.59,
02LA015,2,1965/03/04,41.64,
02LA015,2,1965/03/05,41.71,
02LA015,2,1965/03/06,41.71,
02LA015,2,1965/03/07,41.72,
02LA015,2,1965/03/08,41.84,
02LA015,2,1965/03/09,41.87,
02LA015,2,1965/03/10,41.80,
02LA015,2,1965/03/11,41.76,
02LA015,2,1965/03/12,41.81,
02LA015,2,1965/03/13,41.72,
02LA015,2,1965/03/14,41.61,
02LA015,2,1965/03/15,41.71,
02LA015,2,1965/03/16,41.76,
02LA015,2,1965/03/17,41.86,
02LA015,2,1965/03/18,41.84,
02LA015,2,1965/03/19,41.80,
02LA015,2,1965/03/20,41.70,
02LA015,2,1965/03/21,41.59,
02LA015,2,1965/03/22,41.69,
02LA015,2,1965/03/23,41.65,
02LA015,2,1965/03/24,41.61,
02LA015,2,1965/03/25,41.59,
02LA015,2,1965/03/26,41.58,
02LA015,2,1965/03/27,41.43,
02LA015,2,1965/03/28,41.33,
02LA015,2,1965/03/29,41.56,
02LA015,2,1965/03/30,41.52,
02LA015,2,1965/03/31,41.51,
02LA015,2,1965/04/01,41.40,
02LA015,2,1965/04/02,41.49,
